id,name,start_date,end_date,party,partyLabel,constituency,constituencyLabel,election
Q4572925,Svein Harberg,,,Q586364,Høyre,Q50621,Aust-Agder,Q17018433
Q25427239,Tellef Inge Mørland,,,Q190219,Arbeiderpartiet,Q50621,Aust-Agder,Q17018433
Q39768730,Åshild Bruun-Gundersen,,,Q485665,Fremskrittspartiet,Q50621,Aust-Agder,Q17018433
Q4573115,Kjell Ingolf Ropstad,,,Q1166025,Kristelig Folkeparti,Q50621,Aust-Agder,Q17018433
Q6033416,Ingunn Foss,,,Q586364,Høyre,Q50623,Vest-Agder,Q17018433
Q3420281,Kari Henriksen,,,Q190219,Arbeiderpartiet,Q50623,Vest-Agder,Q17018433
Q38191598,Gisle Meininger Saudland,,,Q485665,Fremskrittspartiet,Q50623,Vest-Agder,Q17018433
Q15061970,Norunn Tveiten Benestad,,,Q586364,Høyre,Q50623,Vest-Agder,Q17018433
Q5650021,Hans Fredrik Grøvan,,,Q1166025,Kristelig Folkeparti,Q50623,Vest-Agder,Q17018433
Q16178952,Torhild Bransdal,,,Q1166025,Kristelig Folkeparti,Q50623,Vest-Agder,Q17018433
Q156553,Jan Tore Sanner,,,Q586364,Høyre,Q50615,Akershus,Q17018433
Q156540,Anniken Huitfeldt,,,Q190219,Arbeiderpartiet,Q50615,Akershus,Q17018433
Q5649745,Hans Andreas Limi,,,Q485665,Fremskrittspartiet,Q50615,Akershus,Q17018433
Q15230235,Tone W. Trøen,,,Q586364,Høyre,Q50615,Akershus,Q17018433
Q1772869,Sverre Myrli,,,Q190219,Arbeiderpartiet,Q50615,Akershus,Q17018433
Q3432190,Nils Aage Jegstad,,,Q586364,Høyre,Q50615,Akershus,Q17018433
Q11991552,Nina Sandberg,,,Q190219,Arbeiderpartiet,Q50615,Akershus,Q17018433
Q11975401,Himanshu Gulati,,,Q485665,Fremskrittspartiet,Q50615,Akershus,Q17018433
Q4590497,Abid Raja,,,Q500190,Venstre,Q50615,Akershus,Q17018433
Q4567725,Henrik Asheim,,,Q586364,Høyre,Q50615,Akershus,Q17018433
Q14437803,Sigbjørn Gjelsvik,,,Q493685,Senterpartiet,Q50615,Akershus,Q17018433
Q19382942,Nicholas Wilkinson,,,Q488418,Sosialistisk Venstreparti,Q50615,Akershus,Q17018433
Q8077259,Åsmund Grøver Aukrust,,,Q190219,Arbeiderpartiet,Q50615,Akershus,Q17018433
Q29057491,Turid Kristensen,,,Q586364,Høyre,Q50615,Akershus,Q17018433
Q1773029,Kari Kjønaas Kjos,,,Q485665,Fremskrittspartiet,Q50615,Akershus,Q17018433
Q25427910,Tuva Moflag,,,Q190219,Arbeiderpartiet,Q50615,Akershus,Q17018433
Q5963582,Hårek Elvenes,,,Q586364,Høyre,Q50615,Akershus,Q17018433
Q6513908,Martin Kolberg,,,Q190219,Arbeiderpartiet,Q50618,Buskerud,Q17018433
Q6981465,Trond Helleland,,,Q586364,Høyre,Q50618,Buskerud,Q17018433
Q15235179,Morten Wold,,,Q485665,Fremskrittspartiet,Q50618,Buskerud,Q17018433
Q4560207,Lise Christoffersen,,,Q190219,Arbeiderpartiet,Q50618,Buskerud,Q17018433
Q15109944,Kristin Ørmen Johnsen,,,Q586364,Høyre,Q50618,Buskerud,Q17018433
Q1772873,Per Olaf Lundteigen,,,Q493685,Senterpartiet,Q50618,Buskerud,Q17018433
Q38623754,Jon Helgheim,,,Q485665,Fremskrittspartiet,Q50618,Buskerud,Q17018433
Q5273847,Masud Gharahkhani,,,Q190219,Arbeiderpartiet,Q50618,Buskerud,Q17018433
Q11959066,Arne Nævra,,,Q488418,Sosialistisk Venstreparti,Q50618,Buskerud,Q17018433
Q11998610,Runar Sjåstad,,,Q190219,Arbeiderpartiet,Q50632,Finnmark,Q17018433
Q39939901,Bengt Rune Strifeldt,,,Q485665,Fremskrittspartiet,Q50632,Finnmark,Q17018433
Q1799837,Ingalill Olsen,,,Q190219,Arbeiderpartiet,Q50632,Finnmark,Q17018433
Q36801883,Geir Adelsten Iversen,,,Q493685,Senterpartiet,Q50632,Finnmark,Q17018433
Q1799849,Frank Bakke-Jensen,,,Q586364,Høyre,Q50632,Finnmark,Q17018433
Q4761757,Anette Trettebergstuen,,,Q190219,Arbeiderpartiet,Q50616,Hedmark,Q17018433
Q548001,Trygve Slagsvold Vedum,,,Q493685,Senterpartiet,Q50616,Hedmark,Q17018433
Q25429905,Nils Kristen Sandtrøen,,,Q190219,Arbeiderpartiet,Q50616,Hedmark,Q17018433
Q17106803,Kristian Tonning Riise,,,Q586364,Høyre,Q50616,Hedmark,Q17018433
Q15109978,Tor André Johnsen,,,Q485665,Fremskrittspartiet,Q50616,Hedmark,Q17018433
Q19974554,Emilie Enger Mehl,,,Q493685,Senterpartiet,Q50616,Hedmark,Q17018433
Q6370820,Karin Andersen,,,Q488418,Sosialistisk Venstreparti,Q50616,Hedmark,Q17018433
Q291644,Erna Solberg,,,Q586364,Høyre,Q50625,Hordaland,Q17018433
Q6516101,Magne Rommetveit,,,Q190219,Arbeiderpartiet,Q50625,Hordaland,Q17018433
Q11056928,Helge André Njåstad,,,Q485665,Fremskrittspartiet,Q50625,Hordaland,Q17018433
Q15057320,Ove Trellevik,,,Q586364,Høyre,Q50625,Hordaland,Q17018433
Q3376114,Jette Christensen,,,Q190219,Arbeiderpartiet,Q50625,Hordaland,Q17018433
Q11995421,Peter Christian Frølich,,,Q586364,Høyre,Q50625,Hordaland,Q17018433
Q3432015,Kjersti Toppe,,,Q493685,Senterpartiet,Q50625,Hordaland,Q17018433
Q22351080,Silje Hjemdal,,,Q485665,Fremskrittspartiet,Q50625,Hordaland,Q17018433
Q204370,Audun Lysbakken,,,Q488418,Sosialistisk Venstreparti,Q50625,Hordaland,Q17018433
Q15742603,Eigil Knutsen,,,Q190219,Arbeiderpartiet,Q50625,Hordaland,Q17018433
Q15057274,Torill Eidsheim,,,Q586364,Høyre,Q50625,Hordaland,Q17018433
Q1350399,Knut Arild Hareide,,,Q1166025,Kristelig Folkeparti,Q50625,Hordaland,Q17018433
Q7814711,Tom-Christer Nilsen,,,Q586364,Høyre,Q50625,Hordaland,Q17018433
Q11998713,Ruth Grung,,,Q190219,Arbeiderpartiet,Q50625,Hordaland,Q17018433
Q14371535,Terje Breivik,,,Q500190,Venstre,Q50625,Hordaland,Q17018433
Q11991511,Nils T. Bjørke,,,Q493685,Senterpartiet,Q50625,Hordaland,Q17018433
Q11235163,Helge Orten,,,Q586364,Høyre,Q50627,Møre og Romsdal,Q17018433
Q7660866,Sylvi Listhaug,,,Q485665,Fremskrittspartiet,Q50627,Møre og Romsdal,Q17018433
Q3434929,Else-May Botten,,,Q190219,Arbeiderpartiet,Q50627,Møre og Romsdal,Q17018433
Q3367245,Jenny Klinge,,,Q493685,Senterpartiet,Q50627,Møre og Romsdal,Q17018433
Q22260406,Marianne Synnes,,,Q586364,Høyre,Q50627,Møre og Romsdal,Q17018433
Q16188198,Jon Georg Dale,,,Q485665,Fremskrittspartiet,Q50627,Møre og Romsdal,Q17018433
Q11970058,Fredric Holen Bjørdal,,,Q190219,Arbeiderpartiet,Q50627,Møre og Romsdal,Q17018433
Q39513794,Vetle Wang Soleim,,,Q586364,Høyre,Q50627,Møre og Romsdal,Q17018433
Q7606806,Steinar Reiten,,,Q1166025,Kristelig Folkeparti,Q50627,Møre og Romsdal,Q17018433
Q4580733,Eirik Sivertsen,,,Q190219,Arbeiderpartiet,Q50630,Nordland,Q17018433
Q15075007,Margunn Ebbesen,,,Q586364,Høyre,Q50630,Nordland,Q17018433
Q27913617,Willfred Nordlund,,,Q493685,Senterpartiet,Q50630,Nordland,Q17018433
Q11213033,Kjell-Børge Freiberg,,,Q485665,Fremskrittspartiet,Q50630,Nordland,Q17018433
Q37817001,Åsunn Lyngedal,,,Q190219,Arbeiderpartiet,Q50630,Nordland,Q17018433
Q11110795,Jonny Finstad,,,Q586364,Høyre,Q50630,Nordland,Q17018433
Q17105344,Siv Mossleth,,,Q493685,Senterpartiet,Q50630,Nordland,Q17018433
Q5649049,Hanne Dyveke Søttar,,,Q485665,Fremskrittspartiet,Q50630,Nordland,Q17018433
Q25433278,Mona Fagerås,,,Q488418,Sosialistisk Venstreparti,Q50630,Nordland,Q17018433
Q462499,Rigmor Aasrud,,,Q190219,Arbeiderpartiet,Q50617,Oppland,Q17018433
Q15742604,Ivar Odnes,,,Q493685,Senterpartiet,Q50617,Oppland,Q17018433
Q6514130,Olemic Thommessen,,,Q586364,Høyre,Q50617,Oppland,Q17018433
Q6515181,Tore Hagebakken,,,Q190219,Arbeiderpartiet,Q50617,Oppland,Q17018433
Q6914562,Morten Ørsal Johansen,,,Q485665,Fremskrittspartiet,Q50617,Oppland,Q17018433
Q38192956,Marit Knutsdatter Strand,,,Q493685,Senterpartiet,Q50617,Oppland,Q17018433
Q15121204,Ketil Kjenseth,,,Q500190,Venstre,Q50617,Oppland,Q17018433
Q467948,Jonas Gahr Støre,,,Q190219,Arbeiderpartiet,Q585,Oslo,Q17018433
Q1770992,Ine Eriksen Søreide,,,Q586364,Høyre,Q585,Oslo,Q17018433
Q6514985,Marianne Marthinsen,,,Q190219,Arbeiderpartiet,Q585,Oslo,Q17018433
Q4569595,Nikolai Astrup (politiker),,,Q586364,Høyre,Q585,Oslo,Q17018433
Q272938,Siv Jensen,,,Q485665,Fremskrittspartiet,Q585,Oslo,Q17018433
Q19715025,Kari Elisabeth Kaski,,,Q488418,Sosialistisk Venstreparti,Q585,Oslo,Q17018433
Q3356825,Trine Skei Grande,,,Q500190,Venstre,Q585,Oslo,Q17018433
Q6148666,Jan Bøhler,,,Q190219,Arbeiderpartiet,Q585,Oslo,Q17018433
Q1770173,Michael Tetzschner,,,Q586364,Høyre,Q585,Oslo,Q17018433
Q4919958,Bjørnar Moxnes,,,Q1512994,Rødt,Q585,Oslo,Q17018433
Q20983227,Une Aina Bastholm,,,Q1518568,Miljøpartiet De Grønne,Q585,Oslo,Q17018433
Q28056911,Siri Staalesen,,,Q190219,Arbeiderpartiet,Q585,Oslo,Q17018433
Q11974693,Heidi Nordby Lunde,,,Q586364,Høyre,Q585,Oslo,Q17018433
Q5110219,Christian Tybring-Gjedde,,,Q485665,Fremskrittspartiet,Q585,Oslo,Q17018433
Q267320,Espen Barth Eide,,,Q190219,Arbeiderpartiet,Q585,Oslo,Q17018433
Q7179290,Petter Eide,,,Q488418,Sosialistisk Venstreparti,Q585,Oslo,Q17018433
Q15054487,Mudassar Kapur,,,Q586364,Høyre,Q585,Oslo,Q17018433
Q11993308,Ola Elvestuen,,,Q500190,Venstre,Q585,Oslo,Q17018433
Q15113600,Stefan Heggelund,,,Q586364,Høyre,Q585,Oslo,Q17018433
Q457128,Bent Høie,,,Q586364,Høyre,Q50624,Rogaland,Q17018433
Q464941,Hadia Tajik,,,Q190219,Arbeiderpartiet,Q50624,Rogaland,Q17018433
Q6980426,Solveig Horne,,,Q485665,Fremskrittspartiet,Q50624,Rogaland,Q17018433
Q12006405,Tina Bru,,,Q586364,Høyre,Q50624,Rogaland,Q17018433
Q7827239,Torstein Tvedt Solberg,,,Q190219,Arbeiderpartiet,Q50624,Rogaland,Q17018433
Q15115946,Roy Steffensen,,,Q485665,Fremskrittspartiet,Q50624,Rogaland,Q17018433
Q11212577,Olaug Bollestad,,,Q1166025,Kristelig Folkeparti,Q50624,Rogaland,Q17018433
Q15613939,Sveinung Stensland,,,Q586364,Høyre,Q50624,Rogaland,Q17018433
Q4572995,Geir Pollestad,,,Q493685,Senterpartiet,Q50624,Rogaland,Q17018433
Q15613897,Hege Haukeland Liadal,,,Q190219,Arbeiderpartiet,Q50624,Rogaland,Q17018433
Q38190381,Margret Hagerup,,,Q586364,Høyre,Q50624,Rogaland,Q17018433
Q17094184,Terje Halleland,,,Q485665,Fremskrittspartiet,Q50624,Rogaland,Q17018433
Q15306091,Øystein Langholm Hansen,,,Q190219,Arbeiderpartiet,Q50624,Rogaland,Q17018433
Q39500336,Solfrid Lerbrekk,,,Q488418,Sosialistisk Venstreparti,Q50624,Rogaland,Q17018433
Q291655,Liv Signe Navarsete,,,Q493685,Senterpartiet,Q50626,Sogn og Fjordane,Q17018433
Q6515401,Ingrid Heggø,,,Q190219,Arbeiderpartiet,Q50626,Sogn og Fjordane,Q17018433
Q17104731,Frida Melvær,,,Q586364,Høyre,Q50626,Sogn og Fjordane,Q17018433
Q28718179,Tore Storehaug,,,Q1166025,Kristelig Folkeparti,Q50626,Sogn og Fjordane,Q17018433
Q1772899,Terje Lien Aasland,,,Q190219,Arbeiderpartiet,Q2254,Telemark,Q17018433
Q12001908,Solveig Sundbø Abrahamsen,,,Q586364,Høyre,Q2254,Telemark,Q17018433
Q5004945,Bård Hoksrud,,,Q485665,Fremskrittspartiet,Q2254,Telemark,Q17018433
Q6522398,Lene Vågslid,,,Q190219,Arbeiderpartiet,Q2254,Telemark,Q17018433
Q29043380,Åslaug Sem-Jacobsen,,,Q493685,Senterpartiet,Q2254,Telemark,Q17018433
Q3433134,Geir Jørgen Bekkevold,,,Q1166025,Kristelig Folkeparti,Q2254,Telemark,Q17018433
Q21197631,Cecilie Myrseth,,,Q190219,Arbeiderpartiet,Q50631,Troms,Q17018433
Q11980525,Kent Gudmundsen,,,Q586364,Høyre,Q50631,Troms,Q17018433
Q282089,Per-Willy Amundsen,,,Q485665,Fremskrittspartiet,Q50631,Troms,Q17018433
Q13408025,Sandra Borch,,,Q493685,Senterpartiet,Q50631,Troms,Q17018433
Q1783942,Martin Henriksen,,,Q190219,Arbeiderpartiet,Q50631,Troms,Q17018433
Q15075009,Torgeir Knag Fylkesnes,,,Q488418,Sosialistisk Venstreparti,Q50631,Troms,Q17018433
Q11977297,Ingvild Kjerkol,,,Q190219,Arbeiderpartiet,Q50629,Nord-Trøndelag,Q17018433
Q1770676,Marit Arnstad,,,Q493685,Senterpartiet,Q50629,Nord-Trøndelag,Q17018433
Q4591112,Arild Grande,,,Q190219,Arbeiderpartiet,Q50629,Nord-Trøndelag,Q17018433
Q11967100,Elin Rodum Agdestein,,,Q586364,Høyre,Q50629,Nord-Trøndelag,Q17018433
Q4760015,André N. Skjelstad,,,Q500190,Venstre,Q50629,Nord-Trøndelag,Q17018433
Q527177,Trond Giske,,,Q190219,Arbeiderpartiet,Q50628,Sør-Trøndelag,Q17018433
Q6514654,Linda Hofstad Helleland,,,Q586364,Høyre,Q50628,Sør-Trøndelag,Q17018433
Q5415094,Eva Kristin Hansen,,,Q190219,Arbeiderpartiet,Q50628,Sør-Trøndelag,Q17018433
Q15116081,Sivert Bjørnstad,,,Q485665,Fremskrittspartiet,Q50628,Sør-Trøndelag,Q17018433
Q5698868,Heidi Greni,,,Q493685,Senterpartiet,Q50628,Sør-Trøndelag,Q17018433
Q39041072,Mari Holm Lønseth,,,Q586364,Høyre,Q50628,Sør-Trøndelag,Q17018433
Q6279004,Jorodd Asphjell,,,Q190219,Arbeiderpartiet,Q50628,Sør-Trøndelag,Q17018433
Q6491499,Lars Haltbrekken,,,Q488418,Sosialistisk Venstreparti,Q50628,Sør-Trøndelag,Q17018433
Q39497946,Kirsti Leirtrø,,,Q190219,Arbeiderpartiet,Q50628,Sør-Trøndelag,Q17018433
Q39934713,Jon Gunnes,,,Q500190,Venstre,Q50628,Sør-Trøndelag,Q17018433
Q15078687,Kårstein Eidem Løvaas,,,Q586364,Høyre,Q50619,Vestfold,Q17018433
Q1157171,Dag Terje Andersen,,,Q190219,Arbeiderpartiet,Q50619,Vestfold,Q17018433
Q6914542,Morten Stordalen,,,Q485665,Fremskrittspartiet,Q50619,Vestfold,Q17018433
Q6522400,Lene Camilla Westgaard-Halle,,,Q586364,Høyre,Q50619,Vestfold,Q17018433
Q38625388,Maria-Karine Aasen-Svendsrud,,,Q190219,Arbeiderpartiet,Q50619,Vestfold,Q17018433
Q11967800,Erlend Larsen,,,Q586364,Høyre,Q50619,Vestfold,Q17018433
Q11963117,Carl-Erik Grimstad,,,Q500190,Venstre,Q50619,Vestfold,Q17018433
Q4571375,Stein Erik Lauvås,,,Q190219,Arbeiderpartiet,Q50614,Østfold,Q17018433
Q1770438,Ingjerd Schou,,,Q586364,Høyre,Q50614,Østfold,Q17018433
Q6513706,Ulf Leirstein,,,Q485665,Fremskrittspartiet,Q50614,Østfold,Q17018433
Q29057520,Elise Bjørnebekk-Waagen,,,Q190219,Arbeiderpartiet,Q50614,Østfold,Q17018433
Q4998157,Tage Pettersen,,,Q586364,Høyre,Q50614,Østfold,Q17018433
Q6513933,Svein Roald Hansen,,,Q190219,Arbeiderpartiet,Q50614,Østfold,Q17018433
Q11993562,Ole André Myhrvold,,,Q493685,Senterpartiet,Q50614,Østfold,Q17018433
Q1355543,Erlend Wiborg,,,Q485665,Fremskrittspartiet,Q50614,Østfold,Q17018433
Q39778020,Freddy André Øvstegård,,,Q488418,Sosialistisk Venstreparti,Q50614,Østfold,Q17018433
